날짜,품목명,가격
2021-03-18,양파,2150
2021-03-18,대파,4500
2021-03-18,마늘,7250
2021-03-19,배추,900
2021-03-19,무,500
2021-03-19,양파,2150
2021-03-19,대파,4500
2021-03-19,마늘,7250
2021-03-22,배추,1000
2021-03-22,무,450
2021-03-22,양파,2150
2021-03-22,대파,5000
2021-03-22,마늘,7250
2021-03-23,배추,1000
2021-03-23,무,450
2021-03-23,양파,2150
2021-03-23,대파,4800
2021-03-23,마늘,7250
2021-03-24,배추,1000
2021-03-24,무,450
2021-03-24,양파,2150
2021-03-24,대파,4800
2021-03-24,마늘,7250
2021-03-25,배추,1000
2021-03-25,무,400
2021-03-25,양파,2050
2021-03-25,대파,4500
2021-03-25,마늘,7250
2021-03-26,배추,1000
2021-03-26,무,400
2021-03-26,양파,1950
2021-03-26,대파,4500
2021-03-26,마늘,7250
2021-03-29,배추,1000
2021-03-29,무,450
2021-03-29,양파,1500
2021-03-29,대파,4600
2021-03-29,마늘,7250
2021-03-30,배추,1000
2021-03-30,무,500
2021-03-30,양파,1465
2021-03-30,대파,4800
2021-03-30,마늘,7250
2021-03-31,배추,900
2021-03-31,무,450
2021-03-31,양파,1465
2021-03-31,대파,4300
2021-03-31,마늘,7250
2021-04-01,배추,1000
2021-04-01,무,500
2021-04-01,양파,1515
2021-04-01,대파,4400
2021-04-01,마늘,7250
2021-04-02,배추,1000
2021-04-02,무,500
2021-04-02,양파,1650
2021-04-02,대파,4000
2021-04-02,마늘,7250
2021-04-05,배추,1000
2021-04-05,무,500
2021-04-05,양파,1650
2021-04-05,대파,4500
2021-04-05,마늘,7250
2021-04-06,배추,1000
2021-04-06,무,500
2021-04-06,양파,1650
2021-04-06,대파,4500
2021-04-06,마늘,7250
2021-04-07,배추,1000
2021-04-07,무,500
2021-04-07,양파,1600
2021-04-07,대파,4300
2021-04-07,마늘,7250
2021-04-08,배추,1000
2021-04-08,무,450
2021-04-08,양파,1600
2021-04-08,대파,4500
2021-04-08,마늘,7250
2021-04-09,배추,1000
2021-04-09,무,450
2021-04-09,양파,1600
2021-04-09,대파,4200
2021-04-09,마늘,7250
2021-04-12,배추,1000
2021-04-12,무,450
2021-04-12,양파,1230
2021-04-12,대파,4500
2021-04-12,마늘,7250
2021-04-13,배추,1000
2021-04-13,무,450
2021-04-13,양파,1215
2021-04-13,대파,4200
2021-04-13,마늘,7250
2021-04-14,배추,1000
2021-04-14,무,450
2021-04-14,양파,1215
2021-04-14,대파,4700
2021-04-14,마늘,7250
2021-04-15,배추,1000
2021-04-15,무,500
2021-04-15,양파,1200
2021-04-15,대파,4600
2021-04-15,마늘,7250
2021-04-16,배추,1000
2021-04-16,무,500
2021-04-16,양파,1150
2021-04-16,대파,4300
2021-04-16,마늘,7250
2021-04-19,배추,1100
2021-04-19,무,450
2021-04-19,양파,1030
2021-04-19,대파,4500
2021-04-19,마늘,7250
2021-04-20,배추,1000
2021-04-20,무,450
2021-04-20,양파,875
2021-04-20,대파,4000
2021-04-20,마늘,7750
2021-04-21,배추,1000
2021-04-21,무,450
2021-04-21,양파,875
2021-04-21,대파,4200
2021-04-21,마늘,7750
2021-04-22,배추,900
2021-04-22,무,500
2021-04-22,양파,875
2021-04-22,대파,4000
2021-04-22,마늘,7750
2021-04-23,배추,1000
2021-04-23,무,500
2021-04-23,양파,875
2021-04-23,대파,4200
2021-04-23,마늘,7750
2021-04-26,배추,1000
2021-04-26,무,500
2021-04-26,양파,875
2021-04-26,대파,4000
2021-04-26,마늘,7750
2021-04-27,배추,1000
2021-04-27,무,500
2021-04-27,양파,825
2021-04-27,대파,3800
2021-04-27,마늘,7750
2021-04-28,배추,1000
2021-04-28,무,500
2021-04-28,양파,825
2021-04-28,대파,3500
2021-04-28,마늘,7750
2021-04-29,배추,900
2021-04-29,무,500
2021-04-29,양파,805
2021-04-29,대파,3500
2021-04-29,마늘,7750
2021-04-30,배추,1000
2021-04-30,무,500
2021-04-30,양파,790
2021-04-30,대파,3700
2021-04-30,마늘,7750
2021-05-03,배추,800
2021-05-03,무,500
2021-05-03,양파,790
2021-05-03,대파,4000
2021-05-03,마늘,7750
2021-05-04,배추,700
2021-05-04,무,500
2021-05-04,양파,780
2021-05-04,대파,3700
2021-05-04,마늘,7500
2021-05-06,배추,700
2021-05-06,무,500
2021-05-06,양파,780
2021-05-06,대파,4550
2021-05-06,마늘,7500
2021-05-07,배추,600
2021-05-07,무,500
2021-05-07,양파,780
2021-05-07,대파,4000
2021-05-07,마늘,7500
2021-05-10,배추,700
2021-05-10,무,500
2021-05-10,양파,750
2021-05-10,대파,3800
2021-05-10,마늘,7500
2021-05-11,배추,700
2021-05-11,무,500
2021-05-11,양파,700
2021-05-11,대파,4000
2021-05-11,마늘,7500
2021-05-12,배추,500
2021-05-12,무,500
2021-05-12,양파,700
2021-05-12,대파,3800
2021-05-12,마늘,7500
2021-05-13,배추,500
2021-05-13,무,500
2021-05-13,양파,650
2021-05-13,대파,3200
2021-05-13,마늘,7500
2021-05-14,배추,400
2021-05-14,무,500
2021-05-14,양파,625
2021-05-14,대파,3000
2021-05-14,마늘,7250
2021-05-17,배추,540
2021-05-17,무,500
2021-05-17,양파,625
2021-05-17,대파,2500
2021-05-17,마늘,7250
2021-05-18,배추,500
2021-05-18,무,450
2021-05-18,양파,625
2021-05-18,대파,2500
2021-05-18,마늘,7250
2021-05-20,배추,600
2021-05-20,무,450
2021-05-20,양파,625
2021-05-20,대파,2300
2021-05-20,마늘,7250
2021-05-21,배추,700
2021-05-21,무,450
2021-05-21,양파,625
2021-05-21,대파,2300
2021-05-21,마늘,7250
2021-05-24,배추,600
2021-05-24,무,520
2021-05-24,양파,630
2021-05-24,대파,2200
2021-05-24,마늘,7250
2021-05-25,배추,600
